"GridSquares","6M","10M","12M","15M","17M","20M","30M","40M","80M","160M","","","","","","","","",""
"EK57","C","C","","C","","C","","C","","C","","","","C","W","","","C","W"
"EK58","","","","","","","","","","C","","","","C","W","","","C","W"
"EK59","W","","","","","","","","","","","","","","W","","","","W"
"EK64","","","","C","","","","","","","","","","C","W","","","C","W"
"EK65","","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EK66","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EK70","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"EK71","C","C","C","C","C","C","","C","C","C","","","","C","W","","","C","W"
"EK92","C","C","C","C","C","C","C","C","","","","","","C","W","","","C","W"
"EK99","C","C","C","","C","C","C","","C","C","","","","C","W","","","C","W"
"EL03","C","","","","","","","","","","","","","C","W","","","C","W"
"EL06","C","C","","C","","C","C","","C","","","","","C","W","","","C","W"
"EL07","C","","","","","","","","","","","","","C","W","","","C","W"
"EL08","C","","","","","","","","","","","","","C","W","","","C","W"
"EL09","C","C","","","W","C","","","C","","","","","C","W","","","C","W"
"EL15","C","","","","","","","","","","","","","C","W","","","C","W"
"EL16","C","","","","","","","C","","","","","","C","W","","","C","W"
"EL17","C","","","","","","","","","","","","","C","W","","","C","W"
"EL18","C","","","","","","","","","","","","","C","W","","","C","W"
"EL19","C","","","","","","","","","","","","","C","W","","","C","W"
"EL22","C","","","","","","","","","","","","","C","W","","","C","W"
"EL28","C","","","","","","","","","","","","","C","W","","","C","W"
"EL29","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EL32","C","","","","","","","","","","","","","C","W","","","C","W"
"EL39","W","C","","","","","","","C","","","","","C","W","","","C","W"
"EL49","C","","","","","","","C","C","","","","","C","W","","","C","W"
"EL60","C","","","","","","","","","","","","","C","W","","","C","W"
"EL61","C","","","","","C","","C","","","","","","C","W","","","C","W"
"EL83","C","","","","","C","","C","","","","","","C","W","","","C","W"
"EL84","C","","","","","","","","","","","","","C","W","","","C","W"
"EL86","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"EL87","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EL88","C","C","","","","","","C","C","C","","","","C","W","","","C","W"
"EL89","","","","","","","","C","","C","","","","C","W","","","C","W"
"EL93","W","","","","","","","","C","","","","","C","W","","","C","W"
"EL94","C","","","","","","","","C","","","","","C","W","","","C","W"
"EL95","C","","","","","C","","","C","","","","","C","W","","","C","W"
"EL96","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EL97","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EL98","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EL99","C","","","","","","","C","C","","","","","C","W","","","C","W"
"EM00","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EM01","C","C","","","","","","","","","","","","C","W","","","C","W"
"EM02","C","","","","","","","","","W","","","","C","W","","","C","W"
"EM03","W","","","","","","","","","C","","","","C","W","","","C","W"
"EM04","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"EM05","C","","","","","","","","","","","","","C","W","","","C","W"
"EM06","C","","","","","","","","","","","","","C","W","","","C","W"
"EM07","C","","","","","","","","","","","","","C","W","","","C","W"
"EM08","C","","","","","","","","","","","","","C","W","","","C","W"
"EM09","C","","","","","C","","C","C","","","","","C","W","","","C","W"
"EM10","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EM11","C","","","","","","","C","","","","","","C","W","","","C","W"
"EM12","C","C","","C","C","C","","C","C","C","","","","C","W","","","C","W"
"EM13","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EM14","C","","","","","C","","","C","","","","","C","W","","","C","W"
"EM15","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM16","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM17","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"EM18","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EM19","C","C","","","","","","C","C","","","","","C","W","","","C","W"
"EM20","C","","","","","C","C","C","C","C","","","","C","W","","","C","W"
"EM21","C","","","","","C","","C","C","","","","","C","W","","","C","W"
"EM22","C","","","","","C","","C","","","","","","C","W","","","C","W"
"EM23","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EM24","C","","","","","C","","","C","","","","","C","W","","","C","W"
"EM25","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM26","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM27","C","C","","","","","","","C","","","","","C","W","","","C","W"
"EM28","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EM29","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM30","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM31","C","","","","","","","C","","","","","","C","W","","","C","W"
"EM32","C","","","","","C","","","C","","","","","C","W","","","C","W"
"EM33","C","","","","","","","","","","","","","C","W","","","C","W"
"EM34","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"EM35","C","","","","","","","C","C","","","","","C","W","","","C","W"
"EM36","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM37","C","","","","","C","","C","C","","","","","C","W","","","C","W"
"EM38","C","","","","","C","","C","C","","","","","C","W","","","C","W"
"EM39","C","","","","","","","C","","","","","","C","W","","","C","W"
"EM40","C","C","","","","","","C","C","C","","","","C","W","","","C","W"
"EM41","","","","","","","","","C","","","","","C","W","","","C","W"
"EM42","W","","","","","","","C","C","","","","","C","W","","","C","W"
"EM43","C","","","","","","","","","","","","","C","W","","","C","W"
"EM44","C","","","","","","","","","","","","","C","W","","","C","W"
"EM45","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM46","C","","","","","","","","","","","","","C","W","","","C","W"
"EM47","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM48","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM49","C","","","","C","","","C","C","W","","","","C","W","","","C","W"
"EM50","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM51","","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM53","","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM54","C","","","","","","","C","C","","","","","C","W","","","C","W"
"EM55","","","","","","C","","C","","","","","","C","W","","","C","W"
"EM56","","","","","","","","C","","","","","","C","W","","","C","W"
"EM57","","","","","","","","C","C","","","","","C","W","","","C","W"
"EM58","","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM59","C","","","","","C","","","","C","","","","C","W","","","C","W"
"EM60","","","","","","C","","C","C","","","","","C","W","","","C","W"
"EM62","C","C","","","","","","C","C","C","","","","C","W","","","C","W"
"EM63","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM64","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM65","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM66","","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM67","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM68","","","","","","","","","C","","","","","C","W","","","C","W"
"EM69","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM70","","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EM71","W","","","C","","","","C","C","C","","","","C","W","","","C","W"
"EM72","C","C","","","","C","","","C","C","","","","C","W","","","C","W"
"EM73","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EM74","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EM75","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EM76","","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM77","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM78","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EM79","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EM80","","","","","","","","","C","","","","","C","W","","","C","W"
"EM81","C","","","","","","","","C","","","","","C","W","","","C","W"
"EM82","C","","","","","","","C","C","","","","","C","W","","","C","W"
"EM83","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM84","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM85","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM86","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM87","C","","","","","","","","","","","","","C","W","","","C","W"
"EM88","C","","","","","","","C","C","","","","","C","W","","","C","W"
