"GridSquares","6M","10M","12M","15M","17M","20M","30M","40M","80M","160M","","","","","","","","",""
"JO22","C","C","","C","","","C","C","C","","","","","C","W","","","C","W"
"JO23","","C","","","","","","","","","","","","C","W","","","C","W"
"JO28","","","","C","","","","","","","","","","C","W","","","C","W"
"JO30","","","","","","","","C","","","","","","C","W","","","C","W"
"JO31","","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"JO32","","C","","","C","C","","","","","","","","C","W","","","C","W"
"JO33","W","C","","C","","C","","C","","","","","","C","W","","","C","W"
"JO38","","","","","","","","","C","C","","","","C","W","","","C","W"
"JO40","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"JO41","W","C","","C","","C","","","","","","","","C","W","","","C","W"
"JO42","","C","","C","","","","","C","","","","","C","W","","","C","W"
"JO43","","","","C","","","","","","","","","","C","W","","","C","W"
"JO44","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"JO46","","C","","","C","C","C","","C","","","","","C","W","","","C","W"
"JO48","","C","","C","","C","","","C","","","","","C","W","","","C","W"
"JO50","","C","","C","W","C","","C","C","","","","","C","W","","","C","W"
"JO51","","","","C","","C","","","","","","","","C","W","","","C","W"
"JO52","","C","","","","","","","","","","","","C","W","","","C","W"
"JO53","","","","","","","","C","C","","","","","C","W","","","C","W"
"JO55","","","","C","","","","","","","","","","C","W","","","C","W"
"JO57","","","","","","C","","","","","","","","C","W","","","C","W"
"JO59","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"JO60","","","C","C","C","C","","C","C","C","","","","C","W","","","C","W"
"JO61","","C","","C","C","","","","C","","","","","C","W","","","C","W"
"JO63","","C","","C","","","","","","","","","","C","W","","","C","W"
"JO65","C","C","C","C","","","","","C","","","","","C","W","","","C","W"
"JO66","","C","","","","","","","","","","","","C","W","","","C","W"
"JO67","","","","C","","","","","C","","","","","C","W","","","C","W"
"JO68","","C","","","","","","","","","","","","C","W","","","C","W"
"JO70","","C","","C","","C","","","","","","","","C","W","","","C","W"
"JO71","","C","","C","","C","","","","","","","","C","W","","","C","W"
"JO73","","C","","","W","","","","","","","","","C","W","","","C","W"
"JO78","","","","C","","","","","","","","","","C","W","","","C","W"
"JO79","","","","C","","","","","","","","","","C","W","","","C","W"
"JO80","","C","","C","","","","","","C","","","","C","W","","","C","W"
"JO81","","","","C","","","","","","C","","","","C","W","","","C","W"
"JO82","","C","","","","","","","","","","","","C","W","","","C","W"
"JO83","","","","","","C","","C","","","","","","C","W","","","C","W"
"JO84","","","","","","C","","","","","","","","C","W","","","C","W"
"JO89","W","C","","","C","","","","","","","","","C","W","","","C","W"
"JO90","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"JO91","","","","C","C","","","C","","","","","","C","W","","","C","W"
"JO92","","","","C","","C","","","","","","","","C","W","","","C","W"
"JO93","","","C","","","","","","","","","","","C","W","","","C","W"
"JO99","","C","","","","","","","C","","","","","C","W","","","C","W"
"JP32","","","","","","","C","","","","","","","C","W","","","C","W"
"JP33","","","","C","","","","","","","","","","C","W","","","C","W"
"JP50","","C","","C","C","C","","C","","","","","","C","W","","","C","W"
"JP53","","","C","C","","","","","","","","","","C","W","","","C","W"
"JP70","","","","","C","","","","","","","","","C","W","","","C","W"
"JP80","","","","C","","C","","C","","","","","","C","W","","","C","W"
"JP82","","C","","C","","","","","","C","","","","C","W","","","C","W"
"JP90","","C","C","C","C","C","C","C","","C","","","","C","W","","","C","W"
"JP92","","","","","","","C","","","","","","","C","W","","","C","W"
"JQ78","","","","C","","C","","","","","","","","C","W","","","C","W"
"KF15","","","","","","C","","","","","","","","C","W","","","C","W"
"KF26","","C","","C","C","","","","","","","","","C","W","","","C","W"
"KG30","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"KG33","","","","","C","","","","","","","","","C","W","","","C","W"
"KG44","","C","C","","C","","C","","","","","","","C","W","","","C","W"
"KG47","","","","C","C","","C","","","","","","","C","W","","","C","W"
"KG53","","","","","C","","","C","","","","","","C","W","","","C","W"
"KG64","","C","C","C","C","C","","C","","","","","","C","W","","","C","W"
"KH10","","","","","C","","","","","","","","","C","W","","","C","W"
"KH33","","","","C","C","C","","C","C","","","","","C","W","","","C","W"
"KH35","","C","","","","","","","","","","","","C","W","","","C","W"
"KH52","","","","C","C","C","C","C","","","","","","C","W","","","C","W"
"KH66","","","","C","","","","","","","","","","C","W","","","C","W"
"KH79","","","","","","","","C","","","","","","C","W","","","C","W"
"KH81","","","","","","","C","","","","","","","C","W","","","C","W"
"KI00","","","","C","C","","C","C","","","","","","C","W","","","C","W"
"KI46","","","","","C","","","","","","","","","C","W","","","C","W"
"KI58","","","C","C","C","C","","C","","","","","","C","W","","","C","W"
"KI67","","","","","","","","C","","","","","","C","W","","","C","W"
"KI88","","","","C","","C","C","","","","","","","C","W","","","C","W"
"KI91","","","","","","","","C","","","","","","C","W","","","C","W"
"KI93","","","","","","C","C","C","","","","","","C","W","","","C","W"
"KJ54","","","","","C","","C","C","","","","","","C","W","","","C","W"
"KJ60","","","","C","","","C","C","","","","","","C","W","","","C","W"
"KK65","","C","C","C","C","","C","","","C","","","","C","W","","","C","W"
"KL74","","","C","C","C","C","C","","","","","","","C","W","","","C","W"
"KL76","","C","C","C","C","C","","","","","","","","C","W","","","C","W"
"KL91","","C","","C","","","","C","","","","","","C","W","","","C","W"
"KM06","","","","","","","","C","C","","","","","C","W","","","C","W"
"KM08","","C","C","C","","C","","","","","","","","C","W","","","C","W"
"KM17","","","","","","","","","C","","","","","C","W","","","C","W"
"KM18","","C","","","","","","C","","C","","","","C","W","","","C","W"
"KM25","","C","C","C","C","C","","C","","","","","","C","W","","","C","W"
"KM37","","C","","","","","","","","","","","","C","W","","","C","W"
"KM46","","C","","","","","","","","","","","","C","W","","","C","W"
"KM50","","C","","","","","","","","","","","","C","W","","","C","W"
"KM64","","C","C","C","C","","","C","","","","","","C","W","","","C","W"
"KM65","","","C","C","C","C","","C","C","","","","","C","W","","","C","W"
"KM66","","","","","","","C","","","","","","","C","W","","","C","W"
"KM69","","","","","","C","","","","","","","","C","W","","","C","W"
"KM71","","C","","","","C","","C","","C","","","","C","W","","","C","W"
"KM72","","","C","C","C","C","","C","C","","","","","C","W","","","C","W"
"KM73","","C","","C","","","","","","","","","","C","W","","","C","W"
"KM74","","C","C","C","","","","","","","","","","C","W","","","C","W"
"KN00","","C","","","","","","C","","","","","","C","W","","","C","W"
"KN01","","C","","C","","","","","","","","","","C","W","","","C","W"
"KN03","","C","","C","","C","","","C","","","","","C","W","","","C","W"
"KN04","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"KN06","","","","C","","C","","C","C","","","","","C","W","","","C","W"
"KN07","","C","","","","C","","C","C","","","","","C","W","","","C","W"
"KN08","","C","C","","C","","","","","","","","","C","W","","","C","W"
"KN09","","","","","","","","C","","","","","","C","W","","","C","W"
"KN10","","C","","","C","C","","","","","","","","C","W","","","C","W"
"KN11","","","","","","","","","C","","","","","C","W","","","C","W"
"KN12","","C","C","C","C","C","","C","C","","","","","C","W","","","C","W"
"KN13","","","","C","","","","","","","","","","C","W","","","C","W"
"KN20","","","","","C","C","C","C","","","","","","C","W","","","C","W"
"KN22","","C","C","C","C","C","","","","","","","","C","W","","","C","W"
"KN23","","C","","","","","","","","","","","","C","W","","","C","W"
"KN25","","C","","","","","","","","","","","","C","W","","","C","W"
"KN30","","C","C","C","","","","","","","","","","C","W","","","C","W"
"KN33","","","","C","","","","C","","","","","","C","W","","","C","W"
"KN34","","C","","C","C","C","","C","","","","","","C","W","","","C","W"
"KN35","","","C","","","","","","","","","","","C","W","","","C","W"
"KN38","","C","","C","","C","","","","","","","","C","W","","","C","W"
"KN44","","","","","C","","","","","","","","","C","W","","","C","W"
"KN45","","C","","C","","","","C","","","","","","C","W","","","C","W"
"KN47","","C","","C","C","","C","","","","","","","C","W","","","C","W"
"KN48","","","","","","C","","C","","","","","","C","W","","","C","W"
"KN56","","C","","","","C","","","","","","","","C","W","","","C","W"
"KN64","","","","","","","C","C","","","","","","C","W","","","C","W"
"KN66","","","","","","","","C","","","","","","C","W","","","C","W"
"KN69","","","","C","","","","","","","","","","C","W","","","C","W"
"KN74","","","C","","","","","C","","","","","","C","W","","","C","W"
"KN77","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"KN78","","C","","","","C","","C","","","","","","C","W","","","C","W"
"KN84","","C","","","","C","","","C","","","","","C","W","","","C","W"
"KN85","","","","","","","","C","","","","","","C","W","","","C","W"
"KN87","","","","C","","","","","","","","","","C","W","","","C","W"
"KN95","","C","","","","","","C","","","","","","C","W","","","C","W"
"KN97","","C","","","","C","","C","","C","","","","C","W","","","C","W"
"KN98","","","","","","C","","","","","","","","C","W","","","C","W"
"KN99","","","","C","C","","","","","","","","","C","W","","","C","W"
"KO02","","","","C","","","","","C","","","","","C","W","","","C","W"
"KO03","","","","","","C","","","","","","","","C","W","","","C","W"
"KO04","","C","C","C","C","","","","","","","","","C","W","","","C","W"
"KO07","","C","","C","","C","","","C","","","","","C","W","","","C","W"
"KO10","","C","","","","","","","","","","","","C","W","","","C","W"
"KO11","","","","C","","","","","","","","","","C","W","","","C","W"
"KO14","","C","C","C","C","C","C","","C","","","","","C","W","","","C","W"
"KO15","","","","","","","","C","","","","","","C","W","","","C","W"
"KO16","","","","","","C","","","","","","","","C","W","","","C","W"
"KO24","","","","","","C","","","","C","","","","C","W","","","C","W"
"KO25","","","","C","","C","","C","C","","","","","C","W","","","C","W"
"KO26","","C","C","C","C","C","","","","","","","","C","W","","","C","W"
"KO29","","C","C","","","C","","C","","","","","","C","W","","","C","W"
"KO33","","C","","","","C","","","C","","","","","C","W","","","C","W"
"KO37","","","","","","","","C","","","","","","C","W","","","C","W"
"KO38","","C","","C","","C","","C","","C","","","","C","W","","","C","W"
"KO40","","","","","","","","","C","","","","","C","W","","","C","W"
"KO42","","C","","","","","","","","","","","","C","W","","","C","W"
"KO43","","","","","C","","","","","","","","","C","W","","","C","W"
"KO50","","C","","C","C","C","","C","C","C","","","","C","W","","","C","W"
"KO53","","C","","","","","C","","","","","","","C","W","","","C","W"
"KO59","","","C","","","","","","C","","","","","C","W","","","C","W"
"KO70","","","","","","","C","","","","","","","C","W","","","C","W"
"KO80","","","","","","","","C","","","","","","C","W","","","C","W"
"KO82","","C","C","","","","","","","","","","","C","W","","","C","W"
"KO85","","","","","","C","","C","C","","","","","C","W","","","C","W"
"KO86","","","","","","","","","C","","","","","C","W","","","C","W"
"KO91","","","","C","C","C","","","","","","","","C","W","","","C","W"
"KO95","","C","","C","","","","","","","","","","C","W","","","C","W"
"KP00","","","","","C","","","","","C","","","","C","W","","","C","W"
"KP01","C","","","C","","C","","","","","","","","C","W","","","C","W"
"KP03","","","","C","","","","","","C","","","","C","W","","","C","W"
"KP04","","","","C","","C","","C","","","","","","C","W","","","C","W"
"KP05","","","","","","","","","C","","","","","C","W","","","C","W"
"KP10","","","","","","C","","","","","","","","C","W","","","C","W"
"KP11","","","","","","","","C","","","","","","C","W","","","C","W"
"KP12","","C","","","","C","","","","","","","","C","W","","","C","W"
"KP20","C","C","","C","","","","","","","","","","C","W","","","C","W"
"KP21","","","C","","","","","","","C","","","","C","W","","","C","W"
"KP25","","","","","","C","","","","","","","","C","W","","","C","W"
"KP30","","","","C","","C","","","","","","","","C","W","","","C","W"
"KP42","","","","","","C","","","","","","","","C","W","","","C","W"
"LG89","","","C","C","C","C","","","","","","","","C","W","","","C","W"
"LH18","","","C","","C","C","","","","","","","","C","W","","","C","W"
"LH27","","","","","C","","","","","","","","","C","W","","","C","W"
"LH31","","","","","C","","","C","","","","","","C","W","","","C","W"
"LH43","","C","C","C","C","","C","C","","","","","","C","W","","","C","W"
"LH93","","","","","C","C","C","C","C","","","","","C","W","","","C","W"
"LI75","","","","","","","","C","","","","","","C","W","","","C","W"
"LK11","","","","C","","","","","","","","","","C","W","","","C","W"
"LL34","","C","C","C","C","","","","","","","","","C","W","","","C","W"
"LL39","","C","C","C","C","C","C","C","C","","","","","C","W","","","C","W"
"LL55","","C","C","C","C","","","C","","","","","","C","W","","","C","W"
"LL56","","C","C","C","C","C","","C","","","","","","C","W","","","C","W"
"LL75","","C","","C","C","C","","C","","","","","","C","W","","","C","W"
"LL93","","C","C","C","","C","","C","","","","","","C","W","","","C","W"
"LM23","","C","C","C","","","","","","","","","","C","W","","","C","W"
"LM25","","C","","","","","","","","","","","","C","W","","","C","W"
"LM39","","C","C","","","C","","","","","","","","C","W","","","C","W"
"LN04","","C","","","C","C","","","","","","","","C","W","","","C","W"
"LN12","","","","","","C","","C","","","","","","C","W","","","C","W"
"LN14","","C","","","","","","","","","","","","C","W","","","C","W"
"LN23","","","","C","","","","","","","","","","C","W","","","C","W"
"LN40","","","C","C","C","","","","","","","","","C","W","","","C","W"
"LO00","","C","","","","","","","","","","","","C","W","","","C","W"
"LO44","","","","","","C","","","","","","","","C","W","","","C","W"
"LO48","","","","","C","","","","","","","","","C","W","","","C","W"
"LO53","","","C","","","","","","","","","","","C","W","","","C","W"
"LO64","","","","C","","C","","","","","","","","C","W","","","C","W"
"LO87","","","","","","C","","","","","","","","C","W","","","C","W"
"LO88","","","","","","","C","","","","","","","C","W","","","C","W"
"LR90","","C","C","C","C","C","C","C","","","","","","C","W","","","C","W"
"ME40","","","","","","C","C","C","","","","","","C","W","","","C","W"
"MH10","","","","","C","C","C","C","","","","","","C","W","","","C","W"
"MI62","","C","C","C","C","C","C","","C","","","","","C","W","","","C","W"
"MJ63","","","","","C","C","","","","","","","","C","W","","","C","W"
"MK69","","","","C","","","","","","","","","","C","W","","","C","W"
"MK72","","","","","C","C","","","","","","","","C","W","","","C","W"
"MM21","","C","C","C","","C","","","","","","","","C","W","","","C","W"
"MM48","","C","","","","C","","","","","","","","C","W","","","C","W"
"MN72","","","","C","","C","","","","","","","","C","W","","","C","W"
"MO04","","","","C","","C","","","","","","","","C","W","","","C","W"
"MO05","","","","","","C","","","","","","","","C","W","","","C","W"
"MO06","","","","","C","C","","C","","","","","","C","W","","","C","W"
"MO12","","","","","","C","","","","","","","","C","W","","","C","W"
"MO27","","","","","","C","","C","","","","","","C","W","","","C","W"
"MO52","","","","","C","","","","","","","","","C","W","","","C","W"
"MO64","","","","","","C","","","","","","","","C","W","","","C","W"
"MO65","","","","","","C","","","","","","","","C","W","","","C","W"
"MP73","","","","","","C","","","","","","","","C","W","","","C","W"
"NH87","","C","C","C","C","","","","","","","","","C","W","","","C","W"
"NJ56","","","","C","","C","","","","","","","","C","W","","","C","W"
"NK61","","","","","C","","","","","","","","","C","W","","","C","W"
"NL44","","","","","","C","","","","","","","","C","W","","","C","W"
"NL47","","","C","","","","","","","","","","","C","W","","","C","W"
"NN19","","","","C","C","C","","","","","","","","C","W","","","C","W"
"NO56","","","","C","","C","","","","","","","","C","W","","","C","W"
"NO66","","","","","","C","C","C","","","","","","C","W","","","C","W"
"NO71","","","","C","","C","","","","","","","","C","W","","","C","W"
"NO75","","","","","","C","","","","","","","","C","W","","","C","W"
"NO76","","","","C","","","","","","","","","","C","W","","","C","W"
"NP49","","C","","C","","C","","","","","","","","C","W","","","C","W"
"OB31","","","","","C","","","","","","","","","C","W","","","C","W"
"OF77","","","C","","","","","","","","","","","C","W","","","C","W"
"OI27","","","","C","","C","","","","","","","","C","W","","","C","W"
"OI32","","C","","","","C","","","","","","","","C","W","","","C","W"
"OI33","","","C","C","C","","","","","","","","","C","W","","","C","W"
"OI94","","","","C","","C","","","","","","","","C","W","","","C","W"
"OJ03","","","","","","C","","","","","","","","C","W","","","C","W"
"OJ05","","","","C","C","C","","","","","","","","C","W","","","C","W"
"OJ64","","","","C","","","","","","","","","","C","W","","","C","W"
"OJ75","","","","C","","","","","","","","","","C","W","","","C","W"
"OJ85","","C","C","C","C","C","","","","","","","","C","W","","","C","W"
"OK03","","","","","","C","","","","","","","","C","W","","","C","W"
"OK20","","","","C","","","","","","","","","","C","W","","","C","W"
"OL21","","C","","","","","","","","","","","","C","W","","","C","W"
"OL72","","C","","","","","","","","","","","","C","W","","","C","W"
"OL73","","C","","","","","","","","","","","","C","W","","","C","W"
"OL86","","","","C","","","","","","","","","","C","W","","","C","W"
"OM89","","","","C","C","","","","","","","","","C","W","","","C","W"
"OO12","","","","C","","C","","","","","","","","C","W","","","C","W"
"OP55","","","","C","","C","","C","","","","","","C","W","","","C","W"
"PI21","","","","","","","","C","","","","","","C","W","","","C","W"
"PJ77","","","","C","","","C","","","","","","","C","W","","","C","W"
"PK04","","C","","","","","","","","","","","","C","W","","","C","W"
"PK05","","C","","C","C","","","","","","","","","C","W","","","C","W"
"PK31","","","","","","C","","","","","","","","C","W","","","C","W"
"PL04","","C","","","","","","","","","","","","C","W","","","C","W"
"PL05","","","","C","C","","","","","","","","","C","W","","","C","W"
"PM36","","","","C","","","","","","","","","","C","W","","","C","W"
"PM45","","","","C","","","","","","","","","","C","W","","","C","W"
"PM46","","C","","","","C","","","","","","","","C","W","","","C","W"
"PM47","","","","C","","","","","","","","","","C","W","","","C","W"
"PM52","","C","","C","","","","","","","","","","C","W","","","C","W"
"PM63","","C","","C","","C","","","","","","","","C","W","","","C","W"
"PM64","","C","","C","C","C","","","C","","","","","C","W","","","C","W"
"PM74","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"PM75","","C","","","","","","","","","","","","C","W","","","C","W"
"PM84","","C","","C","","C","","","C","C","","","","C","W","","","C","W"
"PM85","","","C","C","C","","","","","","","","","C","W","","","C","W"
"PM86","","C","","","","","","","","","","","","C","W","","","C","W"
"PM91","","C","","","","","","","","","","","","C","W","","","C","W"
"PM94","","","","C","","C","","","","","","","","C","W","","","C","W"
"PM95","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"PM96","","C","C","C","","","","","C","","","","","C","W","","","C","W"
"PN63","","","C","","C","","","","","","","","","C","W","","","C","W"
"PN78","","","","C","","","","","C","","","","","C","W","","","C","W"
"PP42","","","C","","","C","","","","","","","","C","W","","","C","W"
"QE37","","","","","","C","","","","","","","","C","W","","","C","W"
"QE38","","","","","","C","","","","","","","","C","W","","","C","W"
"QF56","","C","","","","","","","","","","","","C","W","","","C","W"
"QF98","","","","","C","","C","C","","","","","","C","W","","","C","W"
"QG62","","","","","","C","","","","","","","","C","W","","","C","W"
"QG63","","","","C","","C","","","","","","","","C","W","","","C","W"
"QG64","","C","C","C","C","C","","C","","","","","","C","W","","","C","W"
"QH43","","","","C","C","","C","C","C","","","","","C","W","","","C","W"
"QH72","","","","","","C","C","","","C","","","","C","W","","","C","W"
"QH90","","","","","","","C","","","C","","","","C","W","","","C","W"
"QI57","","C","C","","","","","","","","","","","C","W","","","C","W"
"QJ73","","","","","","","","C","","","","","","C","W","","","C","W"
"QJ96","","","","","","","C","","","","","","","C","W","","","C","W"
"QK23","","C","C","C","C","C","","C","C","","","","","C","W","","","C","W"
"QK24","","","","","","","","","C","","","","","C","W","","","C","W"
"QK25","","","","C","C","","","","","","","","","C","W","","","C","W"
"QM05","","C","","C","","C","","","","","","","","C","W","","","C","W"
"QM06","","","","","","C","","C","","","","","","C","W","","","C","W"
"QM09","","","","","","C","","","","","","","","C","W","","","C","W"
"QN03","","","","","","C","","","","","","","","C","W","","","C","W"
"QN16","","C","","C","","","","","","","","","","C","W","","","C","W"
"QO59","","C","","","C","C","","","","","","","","C","W","","","C","W"
"RE43","","","","","C","","","","","","","","","C","W","","","C","W"
"RE54","","C","","","C","","","","","","","","","C","W","","","C","W"
"RE78","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"RF70","","","","C","","","","","","","","","","C","W","","","C","W"
"RF72","","C","C","C","C","C","C","C","","","","","","C","W","","","C","W"
"RF73","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"RF80","","C","","C","","C","","","","","","","","C","W","","","C","W"
"RF81","","","","C","","C","","","","","","","","C","W","","","C","W"
"RG30","","","","C","C","","","","","","","","","C","W","","","C","W"
"RG37","","C","C","","","C","","","","","","","","C","W","","","C","W"
"RG78","","","C","C","C","","","C","","","","","","C","W","","","C","W"
"RH38","","","","","","C","","C","","","","","","C","W","","","C","W"
"RH39","","","C","C","","","","","","","","","","C","W","","","C","W"
"RH42","","","C","C","C","","","C","","","","","","C","W","","","C","W"
"RH82","","","","","","","C","","","","","","","C","W","","","C","W"
"RH87","","C","C","C","","C","","C","C","","","","","C","W","","","C","W"
"RH93","","","","C","","","","","","","","","","C","W","","","C","W"
"RI91","","C","C","C","C","","","","","","","","","C","W","","","C","W"
"RJ39","","","","C","C","","","","","","","","","C","W","","","C","W"
"RJ61","","","C","C","C","","","C","","","","","","C","W","","","C","W"
"RK39","","","","C","","","","","","","","","","C","W","","","C","W"
